,PRIMARY HOLDING VOLUMES,SECONDARY HOLDING VOLUMES,HIGH HOLDING VOLUMES,BID COST,OFFER COST
,*m,*m,*m,*m,*m
[Jan-13],,,,,
[Feb-13],,,,,
[Mar-13],,,,,
[Apr-13],1.49,0.26,3.39,3.60,2.02
[May-13],0.99,0.20,2.82,2.86,1.15
[Jun-13],1.05,0.18,2.65,0.92,1.46
[Jul-13],1.29,0.25,3.40,2.98,0.66
[Aug-13],1.41,0.34,3.32,2.31,1.81
[Sep-13],1.38,0.36,3.55,3.96,1.67
[Oct-13],1.84,0.46,4.37,4.68,1.71
[Nov-13],1.38,0.26,3.49,3.52,0.63
[Dec-13],1.15,0.25,3.04,1.61,0.86
[Jan-14],0.82,0.20,2.28,1.25,0.90
[Feb-14],0.76,0.17,3.15,1.34,1.12
[Mar-14],1.11,0.22,2.75,1.58,0.69
[Apr-14],1.31,0.30,2.93,2.25,1.72
[May-14],1.14,0.25,2.32,1.74,1.70
[Jun-14],0.95,0.26,1.77,1.35,1.96
[Jul-14],1.02,0.31,2.26,2.24,1.34
[Aug-14],1.36,0.42,2.83,2.53,1.26
[Sep-14],0.95,0.35,2.12,1.64,0.46
[Oct-14],0.82,0.27,2.54,3.00,1.17
[Nov-14],0.90,0.30,2.87,2.60,1.23
[Dec-14],0.63,0.23,1.83,2.83,0.73
[Jan-15],0.69,0.28,2.14,2.78,0.85
[Feb-15],0.62,0.25,1.82,2.37,0.93
[Mar-15],0.68,0.27,1.71,2.32,1.17
[Apr-15],0.97,0.41,2.06,3.85,1.26
[May-15],0.83,0.29,1.96,6.66,1.15
[Jun-15],0.81,0.28,1.80,4.72,1.06
[Jul-15],0.60,0.23,1.52,2.37,1.16
[Aug-15],0.70,0.26,1.53,1.65,1.51
[Sep-15],0.48,0.18,1.02,1.17,0.51
[Oct-15],0.41,0.19,1.24,0.93,0.84
[Nov-15],0.35,0.15,1.34,1.06,1.00
[Dec-15],0.45,0.18,1.47,1.73,1.31
[Jan-16],0.39,0.17,1.31,0.73,0.99
[Feb-16],0.27,0.14,1.07,0.55,0.50
[Mar-16],0.25,0.13,1.09,0.46,0.24
[Apr-16],0.43,0.12,0.40,0.27,0.25
[May-16],0.37,0.19,1.18,0.58,0.99
[Jun-16],0.37,0.20,1.19,0.87,0.51
[Jul-16],0.57,0.28,1.46,1.42,2.06
[Aug-16],0.49,0.24,1.11,0.95,1.99
[Sep-16],0.64,0.31,1.34,1.49,2.34
[Oct-16],0.60,0.31,1.80,1.14,1.42
[Nov-16],0.54,0.29,1.65,1.34,1.88
[Dec-16],0.53,0.28,1.70,1.59,0.95
[Jan-17],0.46,0.24,1.41,1.47,0.69
[Feb-17],0.39,0.20,1.27,1.27,0.76
[Mar-17],0.52,0.27,1.42,1.10,1.33
[Apr-17],0.61,0.32,1.46,1.81,1.32
[May-17],0.46,0.24,1.22,1.64,1.14
[Jun-17],0.46,0.21,1.06,0.89,2.77
[Jul-17],0.43,0.20,1.08,1.03,1.87
[Aug-17],0.47,0.24,1.11,1.33,2.14
[Sep-17],0.43,0.21,0.90,0.89,1.51
[Oct-17],0.35,0.17,1.27,0.97,1.66
[Nov-17],0.40,0.20,1.59,1.19,0.72
[Dec-17],0.34,0.15,1.09,1.41,0.57
[Jan-18],0.19,0.09,0.48,0.54,0.34
[Feb-18],0.18,0.09,0.52,0.61,0.20
[Mar-18],0.30,0.15,0.80,1.34,0.72
[Apr-18],0.21,0.11,0.68,0.47,0.62
[May-18],0.30,0.15,0.82,0.84,0.85
[Jun-18],0.21,0.09,0.52,0.45,0.74
[Jul-18],0.30,0.14,0.88,1.32,0.68
[Aug-18],0.24,0.12,0.98,1.33,0.84
[Sep-18],0.25,0.11,0.98,1.73,1.06
[Oct-18],0.24,0.11,1.02,1.35,0.78
[Nov-18],0.29,0.13,1.15,2.85,0.84
[Dec-18],0.38,0.16,1.20,2.89,0.55
[Jan-19],0.27,0.13,1.06,0.91,0.67
[Feb-19],0.25,0.11,1.02,0.74,0.38
[Mar-19],0.37,0.18,1.22,1.71,1.11
[Apr-19],0.44,0.22,1.11,2.12,0.67
[May-19],0.50,0.26,1.23,3.69,0.49
[Jun-19],0.45,0.22,1.16,3.06,0.65
[Jul-19],0.49,0.25,1.31,2.84,0.67
[Aug-19],0.62,0.31,1.70,4.97,1.38
[Sep-19],0.57,0.28,1.33,4.65,1.46
[Oct-19],0.63,0.33,1.52,5.07,0.94
[Nov-19],0.53,0.27,1.09,4.98,0.81
[Dec-19],0.51,0.28,1.10,3.84,1.21
[Jan-20],0.44,0.24,1.04,2.88,0.95
[Feb-20],0.44,0.24,1.01,2.26,0.69
[Mar-20],0.40,0.21,0.85,1.33,1.38
[Apr-20],0.39,0.21,0.72,2.11,1.06
[May-20],0.24,0.12,0.57,1.07,1.02
[Jun-20],0.15,0.08,0.51,0.95,0.58
[Jul-20],0.20,0.10,0.63,1.64,0.57
[Aug-20],0.12,0.06,0.37,1.74,0.51
[Sep-20],0.24,0.13,0.69,2.75,0.90
[Oct-20],0.35,0.17,0.76,1.89,2.11
[Nov-20],0.36,0.18,0.67,1.84,2.44
[Dec-20],0.42,0.20,0.89,2.41,1.65
[Jan-21],0.43,0.22,1.01,1.67,14.15
[Feb-21],0.51,0.27,1.07,1.74,3.98
[Mar-21],0.61,0.30,1.32,2.96,3.72
[Apr-21],0.85,0.43,1.68,4.58,3.12
[May-21],0.86,0.43,1.63,6.79,2.63
[Jun-21],1.05,0.55,1.78,10.88,2.83
[Jul-21],0.93,0.54,1.72,6.54,2.81
[Aug-21],0.99,0.53,1.89,12.08,5.53
